Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
6.4483428,2237.030249,1590.063153,1308.582057,1702.045181,1603.490631,1344.741059,1167.295152,1330.107484,299.2910096,1702.045181
6.530145266,2209.477763,1590.60434,1308.13767,1702.657953,1605.469219,1322.141083,1155.143699,1330.314617,300.0839719,1702.657953
6.61091862,2233.900683,1590.112863,,1703.35449,1607.21123,1284.016222,1149.687931,1320.648194,302.7995149,1703.35449
6.694819361,2211.180817,1590.800717,1308.859032,1702.78084,1617.55168,1283.01521,1147.645777,1326.146324,295.8037593,1702.78084
6.774456736,2234.662812,1590.371556,1308.565745,1703.763277,1629.165684,1297.872727,1149.160514,1333.501965,295.1946657,1703.763277
6.865385346,2225.397145,1589.990955,1308.42183,1702.838424,1646.771372,1305.894106,1160.224828,1322.987025,293.9921313,1702.838424
6.955932393,2234.316593,1590.811184,1308.782487,1702.396022,1656.908818,1304.384735,1163.232501,1321.329062,298.9209712,1702.396022
7.043497328,2238.665202,1590.181628,1308.560809,1703.657316,1654.971553,1317.394961,1170.067399,1330.007334,299.7513279,1703.657316
7.124117855,2229.757966,1589.960835,,1703.858982,1654.886129,1335.968862,1171.363196,1329.693436,300.9221852,1703.858982
7.199918544,2243.554138,1591.079654,1308.420173,1702.776528,1653.991102,1350.428576,1162.09158,1320.345848,305.3023025,1702.776528
7.279032549,2224.922091,1590.161139,1308.192333,1701.842939,,,,1325.741364,295.5917429,1701.842939
7.279296746,,,,,1649.229023,1323.680592,1150.852527,,,
7.365814966,2241.336908,1589.953622,1309.549841,1702.846152,1639.780288,1289.882185,1143.974262,1330.123306,298.43282,1702.846152
7.450863994,2220.217217,1590.414879,1308.361871,1703.861212,1627.693366,1285.007814,1145.559046,1323.941191,299.9862029,1703.861212
7.53283932,2240.526628,1591.429391,1308.726551,1703.541659,1603.739939,1297.329228,1145.174307,1320.105936,302.6575868,1703.541659
7.610868092,2224.635988,1591.063905,1308.570637,1701.847724,1594.403767,1306.849986,1155.986253,1329.106332,299.9491366,1701.847724
7.701468517,,1591.960608,1308.76132,,1606.57027,1303.086247,1164.212545,1332.269338,,
7.701772712,2233.061512,,,1702.967917,,,,,298.0411443,1702.967917
7.78620132,2222.280259,1590.870791,1308.291911,1703.875651,1612.268151,1315.138264,1168.785269,1321.511931,294.8892738,1703.875651
7.875687082,2226.972379,1590.726587,1309.091539,1704.045786,1623.206503,1331.141739,1166.59265,1324.120855,305.2890252,1704.045786
7.959407514,2229.345993,1591.774501,1308.929387,1702.873482,1620.62828,1345.301568,1160.910869,1332.14346,301.2117968,1702.873482
8.041983735,2227.903873,1591.419674,1308.775191,1702.42201,1605.402104,1324.877319,1152.440236,1325.55438,295.4065198,1702.42201
8.12749917,2241.069599,1591.210226,1308.515724,1704.208608,1601.484074,1293.15903,1149.675001,1320.184085,291.9523259,1704.208608
8.202837284,2225.153927,1591.372153,,1703.752818,1615.35488,1286.54131,1141.412769,1327.784528,300.0400079,1703.752818
8.280281357,2245.575096,,1309.183442,1701.959649,1641.18087,1296.125958,1143.732153,1331.717802,298.2200498,1701.959649
8.368724994,2229.103343,,1308.536,1702.150017,1667.753134,1305.442654,1156.010735,1321.472875,302.6812017,1702.150017
8.45505729,2244.783192,1591.766544,1308.142473,1703.539078,1672.042019,1298.756764,1163.88237,1322.960552,306.0732365,1703.539078
8.532550256,2236.455275,1590.864342,1307.888124,1703.167544,1656.009412,1315.055774,1171.817317,1331.242311,287.0766092,1703.167544
8.616631815,2241.483006,1591.970078,1307.935865,1703.532307,1644.149124,1331.597912,1170.884488,1328.862714,298.4631571,1703.532307
8.706389649,2238.844639,1591.103003,1308.725436,1703.56144,1647.791298,1342.57214,1166.475493,1320.751106,293.2834382,1703.56144
8.786453756,2237.026689,1589.796328,1309.244372,1703.964281,,,,1326.604008,288.3359178,1703.964281
8.786720306,,,,,1646.488994,1325.757241,1155.24369,,,
8.876579828,2243.263,,,1702.795865,1635.029877,1297.459696,1149.105363,,298.9706653,1702.795865
8.87687018,,1590.06468,1308.926636,,,,,1333.342861,,
8.96565517,2227.550059,1591.042051,1309.089065,1702.858167,1612.111723,1287.717692,1145.6991,1322.959001,296.8889407,1702.858167
9.044570418,2238.991381,1590.084667,1309.093555,1703.637109,1602.074697,1293.067763,1146.131721,1322.122892,297.0302768,1703.637109
9.13003697,2219.079926,,,1703.863935,,,,,300.1403376,1703.863935
9.13033927,,1589.986577,1309.703487,,1611.287185,1304.391736,1151.572504,1329.934043,,
9.210651283,2240.689838,1590.803339,1309.168823,1702.994808,,,,1330.761033,295.4772063,1702.994808
9.210942748,,,,,1610.941658,1299.969636,1163.268435,,,
9.289761551,2217.064771,1591.235283,1309.081862,,1609.750042,1313.794685,1177.230182,1320.219271,298.6893247,
9.372957213,2247.322862,1590.06422,1308.401668,1703.5501,1605.08482,1327.351765,1169.538117,1325.039665,299.878987,1703.5501
9.459891062,2230.697996,1589.962711,1308.996048,1703.654788,1605.288159,1340.620568,1169.852907,1333.562899,296.1800415,1703.654788
9.544543602,2245.345605,1590.085714,1309.09247,1703.252803,1610.451902,1325.648797,1155.258416,1325.628461,301.9191916,1703.252803
9.631541008,2241.657843,1590.282273,1309.58721,1702.348744,1615.049529,1302.77992,1149.080317,1320.117716,297.4838705,1702.348744
9.722933548,2241.956869,1589.87324,1308.772457,1702.85548,1630.276743,1283.890098,1148.10584,1328.257251,303.8888464,1702.85548
9.814107592,2244.024512,1590.169541,1309.220385,1703.865963,1643.629465,1291.288529,1144.333723,1331.7703,296.1306037,1703.865963
9.893886032,2235.485277,1591.064455,1308.680581,,1648.419696,1300.232123,1153.820744,1320.637957,301.0920882,
9.979379774,2249.613737,1589.735891,1308.796969,1702.615616,1648.721716,1301.312174,1166.09759,1324.125901,298.7578516,1702.615616
